01-12-2025,Monday,I Arabic I Computer Science I English Lit. I Persian I Principles of Economics I Punjabi,II English (Comp),I Computer Science I English Lit. I Principles of Economics,II English (Comp)
02-12-2025,Tuesday,I English (Comp),II Arabic II Computer Science II English Lit. II French II Principles of Banking II Punjabi II Urdu Advance,I English (Comp),II Computer Science
03-12-2025,Wednesday,I Business Mathematics I Fine Arts I Geography I Islamic Studies (Ele),II Business Stat II Fine Arts II Geography II Islamic Studies (Ele),I Business Mathematics I Islamic Studies (Ele),
04-12-2025,Thursday,I Biology I Mathematics I Edu I Philosophy,II Biology II H. & P. Edu. II Mathematics,I Biology I Mathematics,II Biology II Mathematics
05-12-2025,Friday,I History of Pakistan I History of Muslim India I Stat I Princ. of Account.,,I History of Pakistan I History of Muslim India I Stat I Princ. of Account.,
08-12-2025,Monday,I Economics I Principles of Comm.,II Pakistan Studies,I Economics I Principles of Comm.,II Pakistan Studies
09-12-2025,Tuesday,I Islamic Studies I Ethics,II Commercial Geography II Economics,I Islamic Studies I Ethics,
10-12-2025,Wednesday,I Chem I Psy,II History of Muslim India II History of Pakistan II Stat,I Chem I Psy,
11-12-2025,Thursday,,II Physics II Civics II Persian,,II Physics
12-12-2025,Friday,I Al Quran I Religious Education,,I Al Quran I Religious Education,
15-12-2025,Monday,I Pak Culture I Urdu (Comp.),II Edu II Philosophy II Princ. of Account.,I Pak Culture I Urdu (Comp.),
16-12-2025,Tuesday,,II Chem II Psy,,II Chem
17-12-2025,Wednesday,I H. & P. Edu.,II Al Quran II Religious Education,I H. & P. Edu.,II Al Quran II Religious Education
18-12-2025,Thursday,I Civics I French I Physics I Urdu Advance,II Pak Culture II Urdu (Comp.),I Civics I Physics I Urdu Advance,II Pak Culture II Urdu (Comp.)
